lng,lat,time,flow,dm
116.458,39.948,2017-06-30 15:00:00,2,0
116.458,39.948,2017-06-30 16:00:00,1,0
116.458,39.948,2017-06-30 17:00:00,1,1
116.458,39.948,2017-06-30 18:00:00,3,1
116.458,39.948,2017-06-30 19:00:00,1,0
116.458,39.948,2017-06-30 20:00:00,1,0
116.458,39.948,2017-06-30 21:00:00,2,0
116.458,39.948,2017-06-30 23:00:00,1,0
116.458,39.948,2017-07-01 00:00:00,0,0
116.458,39.948,2017-07-01 01:00:00,0,0
116.458,39.948,2017-07-01 02:00:00,0,0
116.458,39.948,2017-07-01 03:00:00,0,0
116.458,39.948,2017-07-01 04:00:00,0,0
116.458,39.948,2017-07-01 05:00:00,0,0
116.458,39.948,2017-07-01 06:00:00,0,0
116.458,39.948,2017-07-01 07:00:00,3,2
116.458,39.948,2017-07-01 08:00:00,0,0
116.458,39.948,2017-07-01 09:00:00,0,1
116.458,39.948,2017-07-01 10:00:00,0,0
116.458,39.948,2017-07-01 11:00:00,0,1
116.458,39.948,2017-07-01 12:00:00,0,1
116.458,39.948,2017-07-01 13:00:00,0,0
116.458,39.948,2017-07-01 14:00:00,2,0
116.458,39.948,2017-07-01 15:00:00,1,0
116.458,39.948,2017-07-01 16:00:00,2,1
116.458,39.948,2017-07-01 17:00:00,1,0
116.458,39.948,2017-07-01 18:00:00,0,0
116.458,39.948,2017-07-01 19:00:00,1,0
116.458,39.948,2017-07-01 20:00:00,1,0
116.458,39.948,2017-07-01 21:00:00,1,0
116.458,39.948,2017-07-01 22:00:00,0,0
116.458,39.948,2017-07-01 23:00:00,0,0
116.458,39.948,2017-07-02 00:00:00,0,0
116.458,39.948,2017-07-02 09:00:00,1,0
116.458,39.948,2017-07-02 10:00:00,1,0
116.458,39.948,2017-07-02 14:00:00,1,0
116.458,39.948,2017-07-02 15:00:00,1,0
116.458,39.948,2017-07-02 16:00:00,2,0
116.458,39.948,2017-07-02 18:00:00,3,2
116.458,39.948,2017-07-02 19:00:00,2,0
116.458,39.948,2017-07-02 20:00:00,2,0
116.458,39.948,2017-07-03 00:00:00,0,0
116.458,39.948,2017-07-03 01:00:00,0,0
116.458,39.948,2017-07-03 02:00:00,0,0
116.458,39.948,2017-07-03 03:00:00,0,0
116.458,39.948,2017-07-03 04:00:00,0,0
116.458,39.948,2017-07-03 05:00:00,0,0
116.458,39.948,2017-07-03 06:00:00,0,0
116.458,39.948,2017-07-03 07:00:00,2,0
116.458,39.948,2017-07-03 08:00:00,3,0
116.458,39.948,2017-07-03 09:00:00,2,1
116.458,39.948,2017-07-03 10:00:00,2,0
116.458,39.948,2017-07-03 11:00:00,0,0
116.458,39.948,2017-07-03 12:00:00,1,0
116.458,39.948,2017-07-03 13:00:00,0,0
116.458,39.948,2017-07-03 14:00:00,1,1
116.458,39.948,2017-07-03 15:00:00,1,0
116.458,39.948,2017-07-03 16:00:00,4,0
116.458,39.948,2017-07-03 17:00:00,2,0
116.458,39.948,2017-07-03 18:00:00,7,0
116.458,39.948,2017-07-03 19:00:00,3,0
116.458,39.948,2017-07-03 20:00:00,1,0
116.458,39.948,2017-07-03 21:00:00,0,1
116.458,39.948,2017-07-03 22:00:00,1,0
116.458,39.948,2017-07-03 23:00:00,0,0
116.458,39.948,2017-07-04 00:00:00,0,0
116.458,39.948,2017-07-04 07:00:00,1,0
116.458,39.948,2017-07-04 09:00:00,1,0
116.458,39.948,2017-07-04 10:00:00,2,0
116.458,39.948,2017-07-04 12:00:00,0,1
116.458,39.948,2017-07-04 13:00:00,2,0
116.458,39.948,2017-07-04 14:00:00,1,0
116.458,39.948,2017-07-04 16:00:00,2,0
116.458,39.948,2017-07-04 17:00:00,1,0
116.458,39.948,2017-07-04 18:00:00,2,0
116.458,39.948,2017-07-04 19:00:00,1,0
116.458,39.948,2017-07-04 20:00:00,1,0
116.458,39.948,2017-07-05 07:00:00,3,0
116.458,39.948,2017-07-05 08:00:00,3,0
116.458,39.948,2017-07-05 09:00:00,3,0
116.458,39.948,2017-07-05 10:00:00,0,3
116.458,39.948,2017-07-05 11:00:00,1,0
116.458,39.948,2017-07-05 12:00:00,0,1
116.458,39.948,2017-07-05 15:00:00,3,0
116.458,39.948,2017-07-05 16:00:00,5,0
116.458,39.948,2017-07-05 17:00:00,1,1
116.458,39.948,2017-07-05 18:00:00,4,0
116.458,39.948,2017-07-05 19:00:00,1,1
116.458,39.948,2017-07-06 07:00:00,0,1
116.458,39.948,2017-07-06 08:00:00,1,0
116.458,39.948,2017-07-06 09:00:00,3,0
116.458,39.948,2017-07-06 10:00:00,6,0
116.458,39.948,2017-07-06 12:00:00,2,0
116.458,39.948,2017-07-06 16:00:00,1,0
116.458,39.948,2017-07-06 17:00:00,1,1
116.458,39.948,2017-07-06 18:00:00,1,3
116.458,39.948,2017-07-06 19:00:00,0,6
116.458,39.948,2017-07-06 20:00:00,0,6
116.458,39.948,2017-07-06 21:00:00,1,6
116.458,39.948,2017-07-06 22:00:00,0,6
116.458,39.948,2017-07-06 23:00:00,0,6
116.458,39.948,2017-07-07 08:00:00,3,2
116.458,39.948,2017-07-07 09:00:00,3,1
116.458,39.948,2017-07-07 10:00:00,1,0
116.458,39.948,2017-07-07 11:00:00,2,0
116.458,39.948,2017-07-07 12:00:00,2,2
